epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,10235.2,1.85374,1.3969,0.87361,0.46433,0.64252,0.54768,0.22725,1.95002,1.34246,0.91452,0.0004456,0.0004456,0.0004456
58,10481.2,1.87154,1.38326,0.8711,0.47532,0.53994,0.54736,0.24453,1.84203,1.29421,0.89838,0.0004357,0.0004357,0.0004357
59,10732,1.8428,1.39044,0.8609,0.51368,0.62244,0.59413,0.27443,1.81152,1.2714,0.89781,0.0004258,0.0004258,0.0004258
60,10979.4,1.86791,1.44542,0.85895,0.31638,0.52078,0.34952,0.11832,2.18295,1.69599,0.96112,0.0004159,0.0004159,0.0004159
61,11225.7,1.83124,1.38329,0.85889,0.44944,0.62177,0.57262,0.24109,1.91164,1.32138,0.91076,0.000406,0.000406,0.000406
62,11475.5,1.82762,1.37725,0.8603,0.4871,0.65953,0.5867,0.25331,1.86817,1.27487,0.90186,0.0003961,0.0003961,0.0003961
63,11724.5,1.825,1.35124,0.86241,0.47249,0.64865,0.55065,0.21796,2.00916,1.32406,0.92071,0.0003862,0.0003862,0.0003862
64,11969.1,1.85344,1.34024,0.85938,0.52464,0.61715,0.58805,0.24983,1.90536,1.25989,0.91386,0.0003763,0.0003763,0.0003763
65,12236.8,1.81223,1.31368,0.85041,0.44858,0.66735,0.56877,0.24415,1.88661,1.31404,0.90338,0.0003664,0.0003664,0.0003664
66,12576.3,1.8323,1.38576,0.86676,0.56266,0.60559,0.61108,0.28199,1.81985,1.22282,0.8979,0.0003565,0.0003565,0.0003565
67,12917.5,1.85156,1.34022,0.86651,0.50882,0.61473,0.59546,0.25509,1.9045,1.31709,0.90572,0.0003466,0.0003466,0.0003466
68,13255,1.83238,1.34721,0.85834,0.42107,0.55013,0.49095,0.18527,2.03312,1.4822,0.92587,0.0003367,0.0003367,0.0003367
69,13599.8,1.85014,1.34268,0.87267,0.51827,0.60991,0.56933,0.21823,2.00041,1.33674,0.92262,0.0003268,0.0003268,0.0003268
70,13948.7,1.81419,1.33202,0.8684,0.48606,0.63781,0.57559,0.24025,1.88084,1.29009,0.89946,0.0003169,0.0003169,0.0003169
71,14284.7,1.79036,1.32897,0.85203,0.56273,0.62184,0.61959,0.27847,1.84058,1.2203,0.89565,0.000307,0.000307,0.000307
72,14624.8,1.83138,1.33385,0.86028,0.46034,0.56543,0.49223,0.18042,2.08011,1.4542,0.93946,0.0002971,0.0002971,0.0002971
73,14959.2,1.80221,1.31812,0.8564,0.55234,0.63252,0.62833,0.27786,1.88104,1.23507,0.90683,0.0002872,0.0002872,0.0002872
74,16945.2,1.82236,1.32941,0.86129,0.45288,0.50447,0.47753,0.17926,2.04072,1.55094,0.92528,0.0002773,0.0002773,0.0002773
75,17233.7,1.82657,1.34733,0.85813,0.5064,0.59073,0.5463,0.22213,2.00853,1.42887,0.92717,0.0002674,0.0002674,0.0002674
76,17499.9,1.81252,1.31729,0.85882,0.52393,0.6291,0.61895,0.26807,1.88597,1.2443,0.90228,0.0002575,0.0002575,0.0002575
77,17764.2,1.81773,1.32289,0.86952,0.52116,0.61028,0.60915,0.25996,1.89697,1.26248,0.90805,0.0002476,0.0002476,0.0002476
78,18024.1,1.80455,1.28576,0.85301,0.61864,0.65279,0.64787,0.2883,1.83828,1.18428,0.897,0.0002377,0.0002377,0.0002377
79,18278.6,1.81903,1.26824,0.86844,0.57164,0.67714,0.6239,0.28122,1.82501,1.21271,0.89559,0.0002278,0.0002278,0.0002278
80,18538.7,1.79411,1.27535,0.85002,0.62647,0.62968,0.66047,0.30589,1.80498,1.18655,0.89583,0.0002179,0.0002179,0.0002179
81,18793.8,1.81889,1.29718,0.86098,0.56184,0.63313,0.61153,0.27253,1.85422,1.20842,0.89853,0.000208,0.000208,0.000208
82,19047.7,1.80054,1.30445,0.85908,0.54063,0.69236,0.62804,0.28903,1.80772,1.18031,0.8894,0.0001981,0.0001981,0.0001981
83,19306.4,1.77703,1.25768,0.84765,0.59224,0.58077,0.60837,0.26852,1.86626,1.23354,0.90148,0.0001882,0.0001882,0.0001882
84,19566.4,1.7899,1.25004,0.84571,0.55029,0.60884,0.59372,0.26166,1.87679,1.22391,0.90526,0.0001783,0.0001783,0.0001783
85,19826.6,1.8191,1.27613,0.87067,0.60504,0.64237,0.63586,0.28275,1.84275,1.18709,0.89976,0.0001684,0.0001684,0.0001684
86,20079.3,1.80358,1.24025,0.86572,0.55373,0.58675,0.57652,0.24595,1.88524,1.24058,0.90139,0.0001585,0.0001585,0.0001585
87,20331.1,1.78408,1.22027,0.851,0.54469,0.6623,0.62515,0.28479,1.82712,1.17949,0.90062,0.0001486,0.0001486,0.0001486
88,20664,1.77471,1.22212,0.85728,0.52763,0.65753,0.59668,0.2618,1.85632,1.22675,0.8992,0.0001387,0.0001387,0.0001387
89,20996.2,1.79923,1.24512,0.85901,0.59324,0.63264,0.63713,0.28898,1.80532,1.18476,0.89332,0.0001288,0.0001288,0.0001288
90,21280.5,1.76313,1.19125,0.84968,0.52548,0.61884,0.58864,0.25782,1.8647,1.23219,0.89783,0.0001189,0.0001189,0.0001189
91,21599.9,1.72736,1.19026,0.89158,0.47528,0.6755,0.56958,0.25878,1.82478,1.24195,0.89555,0.000109,0.000109,0.000109
92,21875.7,1.71503,1.15403,0.88761,0.47914,0.63475,0.55111,0.23236,1.93301,1.28518,0.91112,9.91e-05,9.91e-05,9.91e-05
93,22115.2,1.70502,1.17127,0.89225,0.58113,0.60658,0.61535,0.27823,1.83527,1.19851,0.8973,8.92e-05,8.92e-05,8.92e-05
94,22345.6,1.69949,1.13214,0.88519,0.57857,0.62086,0.60494,0.27243,1.84701,1.20727,0.90123,7.93e-05,7.93e-05,7.93e-05
95,22569.3,1.69829,1.1337,0.89224,0.60833,0.69191,0.68704,0.3191,1.78915,1.15144,0.89847,6.94e-05,6.94e-05,6.94e-05
96,22804.6,1.73305,1.1543,0.89419,0.61954,0.64287,0.66106,0.3015,1.79872,1.1555,0.89599,5.95e-05,5.95e-05,5.95e-05
97,23024.8,1.69002,1.10123,0.88506,0.58096,0.68186,0.66392,0.29823,1.80381,1.15664,0.89634,4.96e-05,4.96e-05,4.96e-05
98,23259,1.69279,1.11811,0.87697,0.5623,0.69411,0.67146,0.30762,1.79177,1.13385,0.89436,3.97e-05,3.97e-05,3.97e-05
99,23488.5,1.67723,1.11462,0.88508,0.57041,0.66379,0.65487,0.29491,1.82361,1.15877,0.89714,2.98e-05,2.98e-05,2.98e-05
100,23721.5,1.6901,1.11308,0.88182,0.56938,0.67649,0.65496,0.2928,1.8275,1.16359,0.89728,1.99e-05,1.99e-05,1.99e-05
