epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,14577.8,1.582,0.87699,0.8245,0.93715,0.78503,0.86007,0.4378,1.75642,0.94199,0.88496,0.0001288,0.0001288,0.0001288
90,14734.6,1.56206,0.86475,0.83197,0.9404,0.78661,0.86695,0.44079,1.73649,0.9304,0.883,0.0001189,0.0001189,0.0001189
91,14889.2,1.51138,0.83461,0.84829,0.93162,0.7791,0.85625,0.42385,1.76529,0.9644,0.89052,0.000109,0.000109,0.000109
92,15043.2,1.46339,0.77299,0.85289,0.94012,0.75008,0.84198,0.42868,1.75515,0.96479,0.88932,9.91e-05,9.91e-05,9.91e-05
93,15196.2,1.47686,0.77621,0.84717,0.87186,0.80488,0.84991,0.431,1.75536,0.95097,0.88817,8.92e-05,8.92e-05,8.92e-05
94,15349.7,1.46864,0.77342,0.8405,0.91125,0.7824,0.8613,0.43768,1.74374,0.94974,0.88494,7.93e-05,7.93e-05,7.93e-05
95,15503.4,1.43069,0.75363,0.84173,0.92263,0.78261,0.85928,0.44184,1.74367,0.94887,0.886,6.94e-05,6.94e-05,6.94e-05
96,15657.2,1.44454,0.75364,0.84855,0.94109,0.77966,0.85958,0.44546,1.73489,0.93806,0.88407,5.95e-05,5.95e-05,5.95e-05
97,15811.8,1.41036,0.74427,0.85275,0.93422,0.78372,0.85498,0.43966,1.74716,0.9368,0.88676,4.96e-05,4.96e-05,4.96e-05
98,15967,1.42258,0.73824,0.83746,0.91524,0.7909,0.85577,0.44025,1.75043,0.93425,0.88704,3.97e-05,3.97e-05,3.97e-05
99,16126.2,1.40011,0.74041,0.84519,0.91261,0.78722,0.85647,0.4361,1.75317,0.93853,0.88812,2.98e-05,2.98e-05,2.98e-05
100,16279.5,1.41618,0.73568,0.84662,0.90993,0.79687,0.86108,0.44162,1.75081,0.93567,0.88663,1.99e-05,1.99e-05,1.99e-05
